,tanggal_pengerjaan,nama_sampling,nama_qc,asi_afi,id_tiket,case_status,waktu_chat,sentimen_pengguna,revisi_sentimen,masalah_pelanggan,solusi,hasil_summary,alasan_tidak_suka,revisi_sentimen_ubah,reason_ubah,present,file_screenshot,file_screenshot_2,tanggal_meeting
1,3/6/2026,Reza,Neneng,ASI,22889357,Chat Category,2026-01-23 14:43:20,Netral,,Benar,Benar,Good,,,,TRUE,reza_1_1.png,reza_2_1.png,3/13/2026
8,3/6/2026,Reza,Aul,AFI,22892331,Chat Category,2026-01-23 23:15:56,Netral,,Benar,Benar,Good,,Negatif,karena user ada kendala limit paylater tidak bisa digunakan ,TRUE,reza_2_1.png,reza_2_2.png,3/13/2026
13,3/6/2026,Reza,Azer,ASI,23077852,Chat Category,2026-02-22 09:44:33,Netral,,Benar,Benar,Good,,Negatif,karena user ada kendala Tidak bisa ajukan Dana Cicil,TRUE,reza_3_1.png,reza_3_2.png,3/13/2026
15,3/6/2026,Azer,Neneng,ASI,23124849,Close,2026-03-02 22:23:09,Netral,Negatif,Benar,Benar,Bad,Negatif karena kendala pengajuan Pinjaman ,Netral,seharusnya netral karena user hanya bertanya kenapa pinjeman 300 ribu itu tidak bisa di tarik,TRUE,azer_1_1.png,azer_1_2.png,3/13/2026
24,3/6/2026,Azer,Reza,ASI,23120982,Chat Category,2026-02-28 15:52:09,Netral,Negatif,Benar,Benar,Bad,Seharusnya sentimen Negatif karena pengguna ada kendala tidak bisa pelunasan dana cicil,Netral,seharusnya sentimen netral karena user hanya bertanya lalu user klik macro yang telah disediakan oleh robot,TRUE,azer_2_1.png,azer_2_2.png,3/13/2026
25,3/6/2026,Azer,Aul,AFI,22901005,Chat Category,2026-01-25 7:16:06,Netral,Negatif,Benar,Benar,Bad,Seharusnya sentimen Negatif karena pengguna mengalami kendala tidak bisa menggunakan limit Paylater Akulaku,Netral,seharusnya sentimen netral karena user hanya bertanya,TRUE,azer_3_1.png,azer_3_2.png,3/13/2026
32,3/6/2026,Neneng,Reza,AFI,23091719,Chat Category,2026-02-24 16:08:07,Netral,,Benar,Benar,Good,,,,TRUE,neneng_1_1.png,neneng_2_1.png,3/13/2026
37,3/6/2026,Neneng,Azer,ASI,23078320,Chat Category,2026-02-22 11:43:08,Netral,,Benar,Benar,Good,,Negatif,Seharusnya negatif karena user informasikan ada tagihan tapi tidak merasa pinjam,TRUE,neneng_2_1.png,neneng_2_2.png,3/13/2026
40,3/6/2026,Neneng,Aul,AFI,22875724,Chat Category,2026-01-21 14:51:13,Netral,,Benar,Benar,Good,,Negatif,Seharusnya negatif karena kendala transaksi pulsa,TRUE,neneng_3_1.png,neneng_3_2.png,3/13/2026
46,3/6/2026,Aul,Azer,ASI ,23072810,Chat Category,2026-02-21 11:15:54,Netral,,Benar,Benar,Benar,,Negatif,Seharusnya sentimen Negatif karena pengguna mengalami kendala tidak bisa mengajukan pinjaman ,TRUE,aulia_1_1.png,aulia_1_2.png,3/13/2026
54,3/6/2026,Aul,Neneng,ASI ,22890090,Chat Category,2026-01-23 16:32:49,Netral,,Benar,Benar,Benar,,Negatif,Seharusnya sentimen Negatif karena pengguna mengalami kendala tidak bisa login akun,TRUE,aulia_2_1.png,aulia_2_2.png,3/13/2026
55,3/6/2026,Aul,Reza,ASI ,23075793,Chat Category,2026-02-21 21:21:45,Netral,,Benar,Benar,Benar,,Negatif,Seharusnya sentimen Negatif karena pengguna mengalami kesulitan melunasi tagihan cicilan,TRUE,aulia_3_1.png,aulia_3_2.png,3/13/2026
